date,mag,lat,lon
2021-04-19 09:10:36,4.0,29.6373,50.3134
2021-04-19 15:56:02,4.4,36.4941,71.329
2021-04-20 00:32:49,4.3,29.8196,50.6815
2021-04-20 01:57:11,3.9,47.7814,16.1948
2021-04-20 08:09:53,4.6,36.3997,27.1438
2021-04-20 11:21:56,4.1,36.4397,25.5067
2021-04-20 11:36:34,4.1,29.5544,50.5344
2021-04-20 20:55:28,4.3,29.6185,50.5014
2021-04-21 00:15:40,3.0,45.8625,16.047
2021-04-21 00:26:43,4.2,30.6109,99.7028
2021-04-21 08:46:39,4.1,36.5988,27.0299
2021-04-21 16:28:26,4.7,30.0036,89.7629
2021-04-22 00:39:16,4.0,29.5902,50.4934
2021-04-22 02:26:36,4.1,36.8844,68.3921
2021-04-22 06:08:52,4.1,30.3858,87.1751
2021-04-22 22:49:58,4.4,36.2966,27.1552
2021-04-23 00:07:39,4.1,36.44,70.7896
2021-04-23 04:24:30,4.2,38.6654,24.7907
2021-04-23 05:59:21,4.2,31.8191,-10.2808
2021-04-23 10:50:34,4.4,36.5522,70.9212
2021-04-23 15:19:17,4.2,36.3338,27.2142
2021-04-24 13:10:53,4.2,42.8152,86.3599
2021-04-24 19:17:38,4.3,36.9693,20.9832
2021-04-24 19:56:58,4.5,36.4255,68.663
2021-04-25 23:05:23,4.3,38.2013,72.9826
2021-04-26 06:01:03,4.0,36.4384,-11.4627
2021-04-26 13:09:55,4.8,34.3626,45.845
2021-04-27 08:16:59,4.5,37.5511,75.6654
2021-04-27 12:49:33,4.1,30.1099,50.4332
2021-04-27 14:43:16,4.6,35.5232,89.5874
2021-04-27 18:45:40,3.3,42.8839,17.8958
2021-04-28 05:21:26,6.0,26.7813,92.4565
2021-04-28 05:33:01,5.0,26.7489,92.5136
2021-04-28 05:43:20,4.4,26.8262,92.5371
2021-04-28 13:33:27,4.2,26.7662,92.5133
2021-04-28 22:50:53,4.8,26.7477,92.4849
2021-04-29 08:57:44,4.1,36.2283,71.089
2021-04-29 23:06:02,4.7,36.61,70.9548
2021-04-30 09:00:39,4.1,30.6691,103.2503
2021-04-30 16:40:06,4.3,24.2389,94.513
2021-04-30 23:47:33,4.4,19.3381,97.1038
2021-05-01 03:46:57,4.2,37.1542,71.2027
2021-05-01 12:43:20,4.2,34.7208,23.1381
2021-05-01 22:18:03,4.0,38.9178,14.8202
2021-05-02 01:10:06,4.3,35.4452,-3.6289
2021-05-02 08:59:08,4.2,34.7828,23.8604
2021-05-02 12:16:19,4.1,36.496,22.8793
2021-05-02 14:19:05,4.4,24.0664,65.0104
2021-05-03 05:07:11,4.1,39.0679,13.8322
2021-05-03 11:46:39,5.6,51.3055,100.4195
2021-05-03 11:58:52,4.3,52.7,100.5853
2021-05-03 13:41:09,4.2,25.8803,96.7988
2021-05-03 14:42:39,4.6,36.696,94.1354
2021-05-03 22:13:39,4.5,38.4472,73.477
2021-05-04 00:57:14,4.2,38.2933,75.6547
2021-05-04 14:28:33,4.0,36.4422,70.9143
2021-05-04 18:02:02,4.4,34.0067,25.6633
2021-05-05 04:51:05,4.3,32.3251,103.9714
2021-05-05 09:57:55,4.1,49.7949,86.9429
2021-05-05 16:52:12,4.0,26.7384,92.0993
2021-05-06 02:40:34,4.4,36.3394,27.6434
2021-05-06 08:00:15,4.2,26.5945,92.4813
2021-05-06 10:07:18,4.4,42.6205,79.4041
2021-05-06 22:59:30,3.2,44.9349,17.294
2021-05-07 04:23:47,4.3,30.666,50.7911
2021-05-07 06:08:07,4.3,37.6674,19.7637
2021-05-07 11:16:41,4.1,36.5596,70.9579
2021-05-07 14:21:16,4.1,36.6988,71.0116
2021-05-07 15:44:47,4.4,29.6019,50.5869
2021-05-07 22:48:45,4.4,35.2766,46.4434
2021-05-08 12:55:08,4.4,39.6368,23.0871
2021-05-08 13:18:23,4.3,37.8619,21.968
2021-05-08 14:41:45,4.3,36.2784,27.1579
2021-05-09 00:46:42,4.3,29.8117,50.553
2021-05-09 04:53:36,4.4,37.2371,71.6884
2021-05-09 21:41:23,3.8,26.774,92.4738
2021-05-10 11:04:24,4.3,36.4912,71.1117
2021-05-11 19:52:02,4.6,35.4606,-3.5802
2021-05-12 00:31:01,4.8,40.5284,20.9853
2021-05-12 17:37:07,4.5,37.1378,85.0799
2021-05-12 17:42:21,4.4,51.5371,16.0465
2021-05-12 19:11:40,4.4,29.7682,50.5265
2021-05-12 19:26:15,4.6,29.7689,50.726
2021-05-13 06:42:38,4.6,24.4093,99.192
2021-05-14 04:02:21,4.6,36.5242,69.4966
2021-05-14 09:54:59,4.3,35.3374,-3.7105
2021-05-14 12:54:04,4.3,39.4026,73.0747
2021-05-14 12:57:25,4.5,36.4008,69.5932
2021-05-14 19:42:04,4.5,24.9625,95.1088
2021-05-15 02:39:52,4.2,26.418,95.5047
2021-05-15 06:03:56,4.4,26.753,92.4736
2021-05-15 10:56:02,4.1,43.3128,12.5915
2021-05-16 02:06:24,4.0,40.2787,34.4398
2021-05-16 03:16:32,4.2,34.6253,24.8123
2021-05-16 20:32:48,4.7,27.745,52.1424
2021-05-17 01:07:22,4.1,20.6607,71.4793
2021-05-17 02:04:56,5.3,37.3033,56.7455
2021-05-17 03:54:01,5.4,37.3349,56.7058
2021-05-17 04:03:41,4.2,37.5527,56.7165
2021-05-17 05:47:00,4.4,37.2518,56.796
2021-05-17 07:11:52,4.1,36.255,71.1316
2021-05-17 07:37:25,4.3,31.9601,92.926
2021-05-17 08:40:02,4.3,29.8199,50.3922
2021-05-17 10:31:44,4.0,37.7869,56.706
2021-05-17 11:47:54,4.4,37.4984,56.6385
2021-05-18 13:49:40,4.2,26.7801,100.0826
2021-05-18 15:03:01,4.4,26.6713,92.4258
2021-05-18 15:56:54,4.3,26.4878,99.9121
2021-05-18 16:39:43,4.3,26.1305,99.4459
2021-05-18 20:16:35,4.0,37.6196,56.8049
2021-05-19 00:50:03,4.3,37.343,56.6487
2021-05-19 02:57:58,5.3,28.2785,84.3373
2021-05-19 05:41:38,4.9,28.3088,84.3042
2021-05-19 07:07:30,4.6,37.6073,56.639
2021-05-19 12:19:13,4.6,34.776,69.5705
2021-05-19 14:14:59,4.6,38.076,27.0444
2021-05-19 15:05:59,4.6,25.5864,99.9677
2021-05-19 16:13:10,4.3,25.8208,100.0915
2021-05-19 16:58:55,4.3,37.1823,56.6454
2021-05-19 19:54:29,4.5,28.2544,84.3876
2021-05-19 20:58:59,4.1,25.751,100.2228
2021-05-20 11:09:23,4.1,37.2841,71.5065
2021-05-21 14:10:55,4.4,35.4151,-3.6628
2021-05-21 14:52:17,5.0,29.7548,50.5448
2021-05-21 15:56:05,4.6,25.6579,99.9889
2021-05-21 16:21:26,5.2,25.6924,100.0183
2021-05-21 16:21:59,5.1,25.5476,99.9993
2021-05-21 16:48:37,6.1,25.7274,100.0082
2021-05-21 16:55:32,5.0,25.8236,100.0176
2021-05-21 16:56:40,5.0,25.838,100.1301
2021-05-21 17:31:12,5.1,25.6815,99.9907
2021-05-21 17:52:07,4.1,25.4865,100.6098
2021-05-21 18:23:37,4.5,25.6603,100.2397
2021-05-21 19:51:43,4.4,25.7324,100.0097
2021-05-21 20:36:07,4.3,25.6631,100.056
2021-05-21 20:50:18,4.2,25.689,100.2762
2021-05-21 21:04:13,7.3,34.5983,98.2513
2021-05-21 21:10:41,5.2,34.5751,98.2954
2021-05-21 21:12:15,5.5,34.617,98.4674
2021-05-21 21:13:01,5.5,34.4808,99.0805
2021-05-21 21:15:10,4.9,34.5192,99.048
2021-05-21 21:22:21,4.6,34.3861,98.7477
2021-05-21 21:22:54,4.3,34.6021,99.0034
2021-05-21 21:25:05,4.7,34.4608,99.104
2021-05-21 21:28:45,4.9,25.6714,99.978
2021-05-21 21:30:32,4.5,34.6132,99.0816
2021-05-21 21:36:02,4.6,34.611,98.4539
2021-05-21 21:38:32,4.2,34.5948,98.4408
2021-05-21 21:43:30,4.2,34.6893,99.1086
2021-05-21 21:50:59,4.4,34.6594,98.903
2021-05-21 21:55:26,4.1,34.5951,98.6124
2021-05-21 22:03:08,4.9,34.4065,99.058
2021-05-21 22:09:18,4.5,34.8004,97.8033
2021-05-21 22:49:14,4.6,34.6655,97.7166
2021-05-21 23:04:30,4.5,34.5177,98.5886
2021-05-21 23:10:59,4.1,25.7154,99.9773
2021-05-22 00:09:12,4.0,34.4304,99.2279
2021-05-22 00:14:02,4.0,34.7527,97.8683
2021-05-22 00:59:36,4.6,34.5901,98.3686
2021-05-22 01:23:31,4.1,36.3856,27.1625
2021-05-22 02:32:06,4.1,34.6674,98.0153
2021-05-22 02:50:42,4.4,35.1339,46.3272
2021-05-22 03:38:31,4.4,20.0893,95.7789
2021-05-22 04:48:03,4.4,25.7146,99.9459
2021-05-22 05:29:37,5.1,34.9495,97.4695
2021-05-22 05:38:45,5.1,34.5476,98.9375
2021-05-22 06:07:31,4.2,37.8196,56.4717
2021-05-22 06:16:13,4.5,34.7046,97.8634
2021-05-22 06:21:18,5.2,34.7474,98.0852
2021-05-22 06:30:47,4.7,34.2474,100.8578
2021-05-22 07:03:38,4.2,35.7563,99.0616
2021-05-22 10:06:23,4.9,34.5353,98.8874
2021-05-22 10:29:38,4.0,34.6345,98.8063
